Date,Temperature,Wind Speed,Air Pressure
01-03-24,1.6,42.8,1012.9
02-03-24,0.3,28.1,1022.4
03-03-24,23.6,7.2,995.4
04-03-24,12.1,29.6,1018.2
05-03-24,33.5,56.1,1026.0
06-03-24,13.0,49.7,1025.7
07-03-24,29.4,55.6,1024.9
08-03-24,6.8,33.8,1003.7
09-03-24,11.5,27.8,983.3
10-03-24,14.8,4.2,1024.4
11-03-24,28.2,45.2,994.8
12-03-24,0.3,17.1,1012.7
13-03-24,33.8,51.4,994.6
14-03-24,-3.2,55.2,1008.8
15-03-24,21.4,42.1,1006.5
16-03-24,10.9,28.2,1005.8
17-03-24,10.9,44.7,1018.9
18-03-24,9.2,8.7,1024.4
19-03-24,27.6,28.7,989.0
20-03-24,1.0,7.2,989.9
21-03-24,-0.5,23.1,981.7
22-03-24,31.2,12.5,996.9
23-03-24,15.7,42.9,1028.3
24-03-24,25.1,45.5,1017.8
25-03-24,28.5,43.2,995.9
26-03-24,29.1,35.5,1008.5
27-03-24,5.4,10.4,991.4
28-03-24,2.9,40.9,987.8
29-03-24,1.0,43.2,999.7
30-03-24,9.6,24.4,1018.4
31-03-24,24.3,5.8,1025.9
01-04-24,1.2,27.2,1015.7
02-04-24,3.0,22.0,987.9
03-04-24,24.5,55.6,1025.6
04-04-24,31.3,56.8,1004.8
05-04-24,3.4,44.6,1024.9
06-04-24,28.9,21.0,987.8
07-04-24,8.0,27.6,1008.9
08-04-24,32.7,23.2,1007.4
09-04-24,18.3,23.9,993.4
10-04-24,7.6,55.6,1005.0
11-04-24,25.7,35.8,1011.1
12-04-24,6.2,29.9,980.7
13-04-24,6.6,54.9,1001.9
14-04-24,1.8,36.3,1029.4
15-04-24,13.2,7.9,1000.5
16-04-24,0.4,33.3,987.1
17-04-24,20.3,19.8,998.2
18-04-24,20.4,40.4,981.0
19-04-24,28.1,7.5,980.4
20-04-24,17.8,23.2,1001.5
21-04-24,15.1,50.2,1007.2
22-04-24,27.5,39.3,990.1
23-04-24,31.3,3.1,995.1
24-04-24,31.6,13.1,999.9
25-04-24,4.6,36.1,1000.2
26-04-24,-3.4,55.6,997.2
27-04-24,13.1,55.3,1024.4
28-04-24,16.5,4.4,1005.0
29-04-24,25.4,33.6,983.2
30-04-24,10.4,59.3,1020.7
01-05-24,24.0,9.4,988.8
02-05-24,30.2,6.6,981.7
03-05-24,27.7,50.8,1025.3
04-05-24,34.6,9.1,1004.7
05-05-24,-1.4,42.5,1018.2
06-05-24,-4.2,39.0,1023.4
07-05-24,25.0,57.6,992.4
08-05-24,12.7,7.2,1003.4
09-05-24,14.5,40.3,986.9
10-05-24,12.5,3.3,1002.4
11-05-24,27.9,13.8,1009.5
12-05-24,-0.7,12.5,1023.9
13-05-24,7.6,14.4,1029.9
14-05-24,25.9,20.4,997.6
15-05-24,18.9,2.6,1014.5
16-05-24,10.3,19.4,998.6
17-05-24,-3.1,29.5,1015.5
18-05-24,17.2,6.2,984.5
19-05-24,11.9,21.6,1007.7
20-05-24,29.7,18.9,990.6
21-05-24,3.0,22.5,1011.6
22-05-24,10.7,43.7,1000.4
23-05-24,27.2,31.5,1018.3
24-05-24,32.8,20.1,994.3
25-05-24,15.5,39.2,1027.1
26-05-24,28.2,18.4,1017.1
27-05-24,31.6,9.5,995.2
28-05-24,-2.0,38.3,1006.2
29-05-24,30.6,32.8,1005.9
30-05-24,4.8,5.0,1006.4
31-05-24,32.4,4.4,985.2
01-06-24,31.9,4.8,997.3
02-06-24,16.3,18.6,988.3
03-06-24,27.7,39.5,995.2
04-06-24,4.1,39.2,1017.0
05-06-24,32.9,16.0,1009.9
06-06-24,6.9,50.1,1001.8
07-06-24,19.0,56.6,1006.2
08-06-24,18.2,56.8,1025.8
09-06-24,7.5,51.0,990.1
10-06-24,2.6,57.5,991.6
11-06-24,18.8,46.4,1006.8
12-06-24,9.5,22.6,993.7
13-06-24,12.9,37.0,1008.9
14-06-24,-3.9,8.1,1027.8
15-06-24,13.7,8.1,1025.4
16-06-24,5.6,22.9,998.4
17-06-24,1.8,59.2,1014.2
18-06-24,24.0,47.7,1017.7
19-06-24,0.5,20.2,1025.7
20-06-24,33.7,58.6,1029.1
21-06-24,4.1,43.1,998.8
22-06-24,3.9,11.3,1014.7
23-06-24,24.5,54.1,1016.8
24-06-24,18.8,42.3,986.9
25-06-24,17.3,36.6,1008.9
26-06-24,14.2,33.7,987.8
27-06-24,18.0,1.0,1013.6
28-06-24,16.1,0.6,983.0
29-06-24,26.9,5.9,992.1
30-06-24,4.5,38.3,987.9
01-07-24,17.9,41.1,999.5
02-07-24,27.5,40.2,1020.1
03-07-24,21.8,33.3,1012.5
04-07-24,29.8,4.5,1000.5
05-07-24,20.8,18.8,1002.1
06-07-24,25.7,47.2,1012.3
07-07-24,2.9,13.4,998.8
08-07-24,4.5,51.7,980.0
09-07-24,9.0,24.3,997.6
10-07-24,5.2,10.0,1001.9
11-07-24,-4.9,21.9,1021.0
12-07-24,18.4,11.2,1011.2
13-07-24,5.9,11.0,993.7
14-07-24,31.8,14.1,982.6
15-07-24,4.7,46.2,1028.4
16-07-24,-2.0,44.3,992.3
17-07-24,8.0,51.7,1022.1
18-07-24,31.9,38.6,1011.4
19-07-24,22.4,49.2,1009.6
20-07-24,23.6,2.8,1005.9
21-07-24,-1.6,28.7,981.1
22-07-24,22.5,10.5,1029.3
23-07-24,2.2,47.2,1027.4
24-07-24,27.6,42.5,1008.7
25-07-24,4.5,31.7,1011.9
26-07-24,23.6,47.8,1008.5
27-07-24,-2.3,17.1,997.2
28-07-24,3.9,2.5,1005.4
29-07-24,9.5,8.7,1016.0
30-07-24,0.5,26.2,1004.6
31-07-24,28.3,14.6,1009.3
01-08-24,25.1,14.3,1017.3
02-08-24,7.0,14.7,982.3
03-08-24,4.2,38.4,997.3
04-08-24,12.6,15.6,993.4
05-08-24,20.6,56.4,1001.7
06-08-24,34.6,14.6,1001.2
07-08-24,-3.2,56.3,1004.6
08-08-24,1.6,52.0,981.1
09-08-24,19.1,47.0,1014.7
10-08-24,13.0,43.4,1016.5
11-08-24,26.3,13.6,1013.2
12-08-24,1.3,53.5,982.5
13-08-24,30.3,2.1,1020.4
14-08-24,-1.2,27.4,992.4
15-08-24,9.5,45.0,990.6
16-08-24,1.4,53.2,1003.8
17-08-24,7.0,12.3,1014.0
18-08-24,6.4,52.5,1028.9
19-08-24,-1.1,34.4,1029.7
20-08-24,11.6,18.3,990.3
21-08-24,31.0,34.5,1002.0
22-08-24,17.9,28.2,986.3
23-08-24,-4.0,1.5,997.3
24-08-24,12.2,54.0,1015.0
25-08-24,-2.6,55.2,1004.8
26-08-24,11.7,41.8,1005.3
27-08-24,31.9,36.2,1011.5
28-08-24,34.7,32.1,1006.2
29-08-24,22.2,14.1,1003.1
30-08-24,30.9,53.6,1000.0
31-08-24,25.2,5.3,1027.2
01-09-24,10.6,0.4,1009.5
02-09-24,6.6,23.2,992.5
03-09-24,34.9,33.0,980.4
04-09-24,2.3,34.7,990.3
05-09-24,13.2,37.8,986.8
06-09-24,7.4,38.2,1013.7
07-09-24,20.1,8.7,987.1
08-09-24,1.0,28.4,984.6
09-09-24,3.4,44.9,999.9
10-09-24,10.7,52.0,998.6
11-09-24,29.4,26.8,1025.3
12-09-24,11.7,49.8,999.1
13-09-24,1.8,38.2,999.1
14-09-24,20.3,48.2,1001.7
15-09-24,32.7,19.9,1003.2
16-09-24,12.2,54.3,1022.3
17-09-24,22.8,46.4,1000.0
18-09-24,-4.9,29.4,988.5
19-09-24,27.8,8.7,1000.6
20-09-24,-4.4,44.6,987.1
21-09-24,5.2,54.1,990.5
22-09-24,23.6,35.7,1005.8
23-09-24,23.2,4.8,983.6
24-09-24,17.1,7.4,993.2
25-09-24,17.9,52.6,988.8
26-09-24,33.2,16.8,1015.5
27-09-24,18.1,27.6,1012.5
28-09-24,30.0,5.7,981.5
29-09-24,23.1,18.4,1014.6
30-09-24,4.7,12.5,1018.8
01-10-24,3.4,20.5,1017.5
02-10-24,-1.1,52.7,1015.9
03-10-24,-0.7,58.1,1010.8
04-10-24,22.9,13.5,1026.5
05-10-24,17.3,21.3,1012.2
06-10-24,-3.7,10.5,984.4
07-10-24,2.8,2.4,1020.8
08-10-24,33.6,42.5,998.5
09-10-24,28.1,10.6,982.5
10-10-24,12.2,49.9,1009.3
11-10-24,23.7,50.8,989.4
12-10-24,16.4,23.5,1018.1
13-10-24,26.5,29.0,1013.9
14-10-24,15.3,48.3,996.0
15-10-24,6.7,2.3,994.7
16-10-24,30.0,59.4,1017.9
17-10-24,21.0,56.9,1013.4
18-10-24,6.6,24.0,1021.2
19-10-24,-4.6,7.9,1003.5
20-10-24,15.1,28.2,1024.1
21-10-24,30.3,16.7,1025.2
22-10-24,29.2,50.7,1027.6
23-10-24,23.1,32.4,1016.6
24-10-24,32.9,15.6,1013.6
25-10-24,31.4,2.8,989.4
26-10-24,25.6,29.8,998.6
27-10-24,33.2,33.8,1000.8
28-10-24,0.8,12.8,998.8
29-10-24,31.7,30.4,1003.1
30-10-24,15.6,41.6,987.1
31-10-24,27.7,25.9,997.7
01-11-24,17.4,16.5,991.3
02-11-24,-0.2,47.6,996.5
03-11-24,-3.7,17.9,988.7
04-11-24,0.4,37.3,1001.6
05-11-24,19.0,59.2,999.0
06-11-24,16.3,15.2,1011.8
07-11-24,31.0,3.4,992.0
08-11-24,26.8,23.6,1026.3
09-11-24,28.1,24.1,990.6
10-11-24,30.6,40.4,1022.5
11-11-24,11.3,1.7,996.6
12-11-24,10.4,56.3,987.9
13-11-24,15.7,23.9,1019.6
14-11-24,18.8,55.1,1019.8
15-11-24,-2.8,37.9,990.5
16-11-24,27.7,8.9,1004.2
17-11-24,24.8,34.0,1010.1
18-11-24,13.7,7.3,1020.4
19-11-24,-4.3,14.7,1011.9
20-11-24,-0.8,53.8,1028.9
21-11-24,23.0,22.0,1009.8
22-11-24,33.8,48.2,1011.9
23-11-24,32.1,0.3,1003.4
24-11-24,32.2,5.1,991.3
25-11-24,6.3,49.5,1017.0
26-11-24,-4.7,57.7,1009.6
27-11-24,13.7,47.4,997.8
28-11-24,6.1,38.3,1016.0
29-11-24,14.5,47.1,1018.5
30-11-24,23.9,51.2,987.1
01-12-24,18.7,19.6,985.3
02-12-24,25.9,6.3,983.2
03-12-24,5.9,52.4,985.6
04-12-24,12.5,41.3,1028.4
05-12-24,3.7,8.7,995.2
06-12-24,24.5,34.7,981.4
07-12-24,17.6,13.0,998.4
08-12-24,21.0,56.7,980.2
09-12-24,1.4,37.9,1005.4
10-12-24,31.1,28.3,1009.0
11-12-24,19.7,35.2,1024.1
12-12-24,16.7,19.4,1004.3
13-12-24,30.5,19.9,1013.8
14-12-24,26.8,30.1,1006.9
15-12-24,4.7,37.3,993.9
16-12-24,6.2,39.4,1012.0
17-12-24,10.9,56.2,1018.7
18-12-24,25.4,23.0,1022.5
19-12-24,19.0,44.7,1017.5
20-12-24,4.0,59.5,988.0
21-12-24,13.7,42.1,1010.1
22-12-24,6.9,13.5,1006.1
23-12-24,8.6,53.1,1021.3
24-12-24,21.0,6.1,997.6
25-12-24,12.5,53.0,1018.3
26-12-24,18.0,49.9,983.2
27-12-24,-3.5,18.6,993.7
28-12-24,13.6,40.2,1014.0
29-12-24,19.7,55.3,1014.4
30-12-24,12.3,9.8,999.9
31-12-24,7.8,34.8,1006.4
